iter	RMSE
0	48076.20549
1	45247.53347
2	42716.77099
3	39939.65296
4	37992.7881
5	35693.86194
6	33772.94888
7	32382.31795
8	30767.454
9	28957.42682
10	27202.75555
11	25879.07068
12	24380.80519
13	23260.67329
14	21909.89576
15	20739.73806
16	19553.69844
17	18476.88068
18	17725.57873
19	16945.28554
20	16068.38891
21	15381.94989
22	14699.46417
23	13939.39597
24	13548.71184
25	12918.64858
26	12341.23522
27	11845.84669
28	11489.87658
29	10982.76342
30	10621.64476
31	10233.06556
32	9802.058746
33	9391.512754
34	9130.183662
35	8845.675765
36	8610.946201
37	8424.712203
38	8108.006963
39	7878.186418
40	7581.38684
41	7358.802648
42	7126.19174
43	6964.355893
44	6816.781615
45	6607.044809
46	6399.020602
47	6218.586156
48	6097.217098
49	5930.12096
50	5758.258464
51	5598.481156
52	5466.736024
53	5352.737308
54	5220.308779
55	5112.187553
56	5010.40138
57	4914.510004
58	4857.746808
59	4794.430531
60	4691.87055
61	4637.845413
62	4560.224893
63	4497.241433
64	4416.199014
65	4349.440482
66	4283.61093
67	4223.752573
68	4132.058448
69	4080.64817
70	4018.556725
71	3956.663369
72	3883.475376
73	3810.99239
74	3764.06692
75	3697.751001
76	3635.177041
77	3570.054215
78	3532.484398
79	3483.266374
80	3428.785855
81	3365.945787
82	3331.493432
83	3282.542522
84	3252.344533
85	3212.529265
86	3174.120704
87	3123.300734
88	3079.50466
89	3018.545138
90	2989.136259
91	2943.084952
92	2903.605646
93	2853.383435
94	2821.917387
95	2792.291787
96	2764.518682
97	2741.262159
98	2715.19868
99	2682.098281
