iter	Passed	Remaining
0	194	19214
1	199	9789
2	205	6634
3	210	5062
4	216	4116
5	222	3480
6	227	3024
7	233	2683
8	239	2416
9	244	2200
10	249	2022
11	255	1873
12	261	1747
13	266	1638
14	272	1542
15	277	1458
16	283	1383
17	289	1316
18	294	1255
19	300	1200
20	305	1150
21	311	1105
22	317	1062
23	322	1022
24	328	985
25	334	951
26	339	918
27	345	887
28	350	858
29	356	831
30	361	805
31	367	780
32	372	756
33	378	734
34	383	712
35	389	692
36	394	672
37	400	653
38	405	634
39	411	617
40	417	600
41	422	583
42	428	567
43	433	551
44	439	536
45	444	521
46	450	507
47	455	493
48	461	479
49	466	466
50	471	453
51	477	440
52	482	428
53	488	416
54	494	404
55	499	392
56	504	380
57	509	369
58	515	357
59	520	346
60	525	335
61	530	325
62	535	314
63	540	304
64	545	293
65	551	283
66	556	274
67	561	264
68	566	254
69	571	244
70	576	235
71	582	226
72	587	217
73	592	208
74	597	199
75	602	190
76	607	181
77	613	172
78	618	164
79	623	155
80	628	147
81	634	139
82	639	130
83	644	122
84	649	114
85	654	106
86	659	98
87	665	90
88	670	82
89	675	75
90	680	67
91	686	59
92	691	52
93	696	44
94	701	36
95	707	29
96	713	22
97	718	14
98	724	7
99	729	0
