id,year,state_name,state_code,district_name,district_code,region,population_group,no_of_offices,no_of_accounts,deposit_amount,deposit_per_office,deposit_per_account,accounts_per_office,has_deposits,has_offices,has_accounts
0,2022,Andaman and Nicobar Islands,35,North and Middle Andaman,632,Eastern Region,Rural,10,108,729,72.9,6.75,10.8,1,1,1
1,2022,Andaman and Nicobar Islands,35,South Andamans,602,Eastern Region,Rural,13,106,775,59.61538461538461,7.311320754716981,8.153846153846153,1,1,1
2,2022,Andaman and Nicobar Islands,35,South Andamans,602,Eastern Region,Semi-urban,10,64,463,46.3,7.234375,6.4,1,1,1
3,2022,Andaman and Nicobar Islands,35,South Andamans,602,Eastern Region,Urban,36,301,4620,128.33333333333334,15.348837209302326,8.36111111111111,1,1,1
8,2022,Andhra Pradesh,28,Anantapur,502,Southern Region,Rural,160,2128,3306,20.6625,1.5535714285714286,13.3,1,1,1
9,2022,Andhra Pradesh,28,Anantapur,502,Southern Region,Semi-urban,124,2549,6301,50.814516129032256,2.4719497842291096,20.556451612903224,1,1,1
10,2022,Andhra Pradesh,28,Anantapur,502,Southern Region,Urban,177,4624,12495,70.59322033898304,2.702205882352941,26.124293785310734,1,1,1
11,2022,Andhra Pradesh,28,Chittoor,503,Southern Region,Rural,240,2678,10711,44.62916666666667,3.9996265870052277,11.158333333333333,1,1,1
12,2022,Andhra Pradesh,28,Chittoor,503,Southern Region,Semi-urban,162,2677,6937,42.82098765432099,2.5913335823683226,16.52469135802469,1,1,1
13,2022,Andhra Pradesh,28,Chittoor,503,Southern Region,Urban,207,2586,24021,116.04347826086956,9.288863109048723,12.492753623188406,1,1,1
14,2022,Andhra Pradesh,28,East Godavari,505,Southern Region,Rural,258,3321,6661,25.81782945736434,2.0057211683227942,12.872093023255815,1,1,1
15,2022,Andhra Pradesh,28,East Godavari,505,Southern Region,Semi-urban,306,4058,10148,33.16339869281046,2.500739280433711,13.261437908496733,1,1,1
16,2022,Andhra Pradesh,28,East Godavari,505,Southern Region,Urban,251,2786,19823,78.97609561752988,7.115218951902369,11.099601593625499,1,1,1
17,2022,Andhra Pradesh,28,Guntur,506,Southern Region,Rural,285,2335,6445,22.614035087719298,2.76017130620985,8.192982456140351,1,1,1
18,2022,Andhra Pradesh,28,Guntur,506,Southern Region,Semi-urban,239,3256,9685,40.52301255230125,2.9745085995085994,13.623430962343097,1,1,1
19,2022,Andhra Pradesh,28,Guntur,506,Southern Region,Urban,332,3726,26754,80.58433734939759,7.180354267310789,11.22289156626506,1,1,1
20,2022,Andhra Pradesh,28,Krishna,510,Southern Region,Rural,230,2146,4997,21.72608695652174,2.3285181733457594,9.330434782608696,1,1,1
21,2022,Andhra Pradesh,28,Krishna,510,Southern Region,Semi-urban,239,2827,10649,44.55648535564853,3.766890696851786,11.828451882845188,1,1,1
22,2022,Andhra Pradesh,28,Krishna,510,Southern Region,Urban,67,2638,4261,63.59701492537314,1.6152388172858225,39.37313432835821,1,1,1
23,2022,Andhra Pradesh,28,Krishna,510,Southern Region,Metropolitan,350,3288,38461,109.88857142857142,11.697384428223843,9.394285714285715,1,1,1
24,2022,Andhra Pradesh,28,Kurnool,511,Southern Region,Rural,162,1759,2618,16.160493827160494,1.488345650938033,10.858024691358025,1,1,1
25,2022,Andhra Pradesh,28,Kurnool,511,Southern Region,Semi-urban,119,2445,4925,41.38655462184874,2.014314928425358,20.54621848739496,1,1,1
26,2022,Andhra Pradesh,28,Kurnool,511,Southern Region,Urban,193,4338,12238,63.409326424870464,2.8211157215306595,22.476683937823836,1,1,1
27,2022,Andhra Pradesh,28,Prakasam,517,Southern Region,Rural,199,2114,3921,19.7035175879397,1.8547776726584673,10.623115577889447,1,1,1
28,2022,Andhra Pradesh,28,Prakasam,517,Southern Region,Semi-urban,205,3160,8519,41.55609756097561,2.695886075949367,15.414634146341463,1,1,1
29,2022,Andhra Pradesh,28,Prakasam,517,Southern Region,Urban,78,835,5133,65.8076923076923,6.147305389221557,10.705128205128204,1,1,1
30,2022,Andhra Pradesh,28,Spsr Nellore,515,Southern Region,Rural,151,1521,2872,19.019867549668874,1.8882314266929652,10.072847682119205,1,1,1
31,2022,Andhra Pradesh,28,Spsr Nellore,515,Southern Region,Semi-urban,149,2296,5594,37.54362416107382,2.436411149825784,15.409395973154362,1,1,1
32,2022,Andhra Pradesh,28,Spsr Nellore,515,Southern Region,Urban,128,1509,10586,82.703125,7.015241882041087,11.7890625,1,1,1
33,2022,Andhra Pradesh,28,Srikakulam,519,Southern Region,Rural,150,2090,3739,24.926666666666666,1.7889952153110047,13.933333333333334,1,1,1
34,2022,Andhra Pradesh,28,Srikakulam,519,Southern Region,Semi-urban,110,1740,4398,39.981818181818184,2.527586206896552,15.818181818181818,1,1,1
35,2022,Andhra Pradesh,28,Srikakulam,519,Southern Region,Urban,61,657,3619,59.32786885245902,5.508371385083714,10.770491803278688,1,1,1
36,2022,Andhra Pradesh,28,Visakhapatanam,520,Southern Region,Rural,153,2394,3894,25.45098039215686,1.6265664160401003,15.647058823529411,1,1,1
37,2022,Andhra Pradesh,28,Visakhapatanam,520,Southern Region,Semi-urban,111,1514,3924,35.351351351351354,2.591809775429326,13.63963963963964,1,1,1
38,2022,Andhra Pradesh,28,Visakhapatanam,520,Southern Region,Metropolitan,528,5472,54393,103.01704545454545,9.940241228070175,10.363636363636363,1,1,1
39,2022,Andhra Pradesh,28,Vizianagaram,521,Southern Region,Rural,139,1699,2796,20.115107913669064,1.6456739258387287,12.223021582733812,1,1,1
40,2022,Andhra Pradesh,28,Vizianagaram,521,Southern Region,Semi-urban,102,1376,3256,31.92156862745098,2.366279069767442,13.490196078431373,1,1,1
41,2022,Andhra Pradesh,28,Vizianagaram,521,Southern Region,Urban,78,1159,4449,57.03846153846154,3.838654012079379,14.85897435897436,1,1,1
