"id","year","state_name","state_code","district_name","district_code","region","population_group","no_of_offices","no_of_accounts","deposit_amount"
0,2022,"Andaman and Nicobar Islands",35,"North and Middle Andaman",632,"Eastern Region","Rural",10,108,729
1,2022,"Andaman and Nicobar Islands",35,"South Andamans",602,"Eastern Region","Rural",13,106,775
2,2022,"Andaman and Nicobar Islands",35,"South Andamans",602,"Eastern Region","Semi-urban",10,64,463
3,2022,"Andaman and Nicobar Islands",35,"South Andamans",602,"Eastern Region","Urban",36,301,4620
4,2022,"Andaman and Nicobar Islands",35,"North and Middle Andaman",632,"Eastern Region","Rural",0,0,0
5,2022,"Andaman and Nicobar Islands",35,"South Andamans",602,"Eastern Region","Rural",0,0,0
6,2022,"Andaman and Nicobar Islands",35,"South Andamans",602,"Eastern Region","Semi-urban",0,0,0
7,2022,"Andaman and Nicobar Islands",35,"South Andamans",602,"Eastern Region","Urban",0,0,0
8,2022,"Andhra Pradesh",28,"Anantapur",502,"Southern Region","Rural",160,2128,3306
9,2022,"Andhra Pradesh",28,"Anantapur",502,"Southern Region","Semi-urban",124,2549,6301
10,2022,"Andhra Pradesh",28,"Anantapur",502,"Southern Region","Urban",177,4624,12495
11,2022,"Andhra Pradesh",28,"Chittoor",503,"Southern Region","Rural",240,2678,10711
12,2022,"Andhra Pradesh",28,"Chittoor",503,"Southern Region","Semi-urban",162,2677,6937
13,2022,"Andhra Pradesh",28,"Chittoor",503,"Southern Region","Urban",207,2586,24021
14,2022,"Andhra Pradesh",28,"East Godavari",505,"Southern Region","Rural",258,3321,6661
15,2022,"Andhra Pradesh",28,"East Godavari",505,"Southern Region","Semi-urban",306,4058,10148
16,2022,"Andhra Pradesh",28,"East Godavari",505,"Southern Region","Urban",251,2786,19823
17,2022,"Andhra Pradesh",28,"Guntur",506,"Southern Region","Rural",285,2335,6445
18,2022,"Andhra Pradesh",28,"Guntur",506,"Southern Region","Semi-urban",239,3256,9685
19,2022,"Andhra Pradesh",28,"Guntur",506,"Southern Region","Urban",332,3726,26754
20,2022,"Andhra Pradesh",28,"Krishna",510,"Southern Region","Rural",230,2146,4997
21,2022,"Andhra Pradesh",28,"Krishna",510,"Southern Region","Semi-urban",239,2827,10649
22,2022,"Andhra Pradesh",28,"Krishna",510,"Southern Region","Urban",67,2638,4261
23,2022,"Andhra Pradesh",28,"Krishna",510,"Southern Region","Metropolitan",350,3288,38461
24,2022,"Andhra Pradesh",28,"Kurnool",511,"Southern Region","Rural",162,1759,2618
25,2022,"Andhra Pradesh",28,"Kurnool",511,"Southern Region","Semi-urban",119,2445,4925
