model_name,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,training_time
Extra Trees,0.9999043685527644,0.9976411596358573,502.8613207432316,1402.8694788949315,331.45574070868,444.55579328935903,0.2935352325439453
Gradient Boosting,0.9999897575440633,0.9935533269697462,164.56971602364513,2319.187241691022,106.22366153992748,358.6474901035491,2.636063814163208
Decision Tree,0.9998756990845328,0.9891995725035261,573.304078268674,3001.84638610567,292.4362449022995,707.1554019360651,0.04399275779724121
XGBoost GPU,0.9999642015732466,0.9887199982139021,307.6662357780803,3067.7684419538023,165.45734647618593,484.0500103532414,0.6303181648254395
Random Forest,0.9965895281236644,0.9876090199923931,3002.99842124301,3215.294957963778,300.77080973091444,437.36292592999416,1.046402931213379
K-Nearest Neighbors,0.9733545987377972,0.9586228285083811,8393.807402094177,5875.548168522691,1474.6593442035478,1657.1581661891116,0.0018932819366455078
CatBoost GPU,0.9972794746916602,0.9515137961381919,2682.0955944571865,6360.292416407513,1041.5948517855943,1462.2978559222083,1.204169750213623
Neural Network (MLP) GPU,0.9601644350977387,0.9293741228954051,10263.213365513588,7676.2642842154155,2457.711133193081,2329.0599017211566,24856651872.0
AdaBoost,0.9759840090297498,0.9038679216062689,7968.895346762578,8955.754033297553,4233.410310771598,4477.345104321386,1.0569818019866943
LightGBM CPU,0.9486926461111002,0.8347999109939896,11647.632944253633,11740.136052590105,1372.6877063166257,1463.0715929499945,0.0863645076751709
ElasticNet Regression,0.7706784115634684,0.8035591428393388,24624.665413714825,12802.179188351005,9578.062377483117,8942.577967944873,0.004483699798583984
Bayesian Ridge,0.8393234906134535,0.6680024691753054,20612.18642593457,16643.14581678133,11492.018151368133,11483.916725030802,0.027734756469726562
Ridge Regression,0.8393261212577774,0.6674758755887139,20612.01769077418,16656.33974217627,11497.935235469558,11491.326213933831,0.0519404411315918
Lasso Regression,0.8393276690169569,0.6667667612674804,20611.918413540476,16674.090272074893,11505.611807135994,11500.823507831674,0.03541207313537598
Linear Regression,0.8393277596960079,0.6666114637545388,20611.912597139315,16677.975153334937,11507.640437495076,11503.438013239576,0.023310184478759766
SVR Polynomial,0.7001630546335231,0.5011941256447361,28157.26317169454,20400.16927405089,5767.576048795258,5282.6866923981215,1.1463119983673096
SVR Linear,0.13743905703268167,0.21225323138509622,47757.62952522284,25636.651902491765,5681.41987774143,4376.791481676391,1.048116683959961
SVR RBF,-0.014377704761876942,-0.026876902912081002,51790.21514894281,29270.300705526468,7417.563258032192,6033.145776983616,1.4691212177276611
